cabang,sku,dataset_label,n_train,zero_ratio,zero_bucket,qty_median,scale_bucket,qty_mean,qty_std,qty_max,spike_ratio,adf_level_p,adf_diff1_p,acf_lag1,acf_lag2,acf_lag3,acf_lag6,acf_lag12,seasonal_flag,sarimax_d_sug,sarimax_D_sug,sarimax_family,lgbm_size_bucket,lgbm_max_depth_sug,lgbm_num_leaves_sug,lgbm_min_data_in_leaf_sug,tft_use,tft_encoder_length_sug,tft_hidden_size_sug
05A,FIJK250C,selected15,41,0.0,dense,726.0,high,759.3414634146342,160.05133703847926,1064.0,0.0,7.22918282069509e-05,2.6502303201611577e-12,0.2844795787153233,0.19255918300493383,0.29892220609687264,0.3061933267837666,-0.07057980474549795,0,0,0,mixed,small,6,16,10,1,24,32
05A,FSTU001KSW,selected15,41,0.0,dense,1053.0,high,1151.2926829268292,417.0985041871068,2337.0,0.04878048780487805,0.672432178868765,0.028456546592698456,0.3712645888536238,0.4178185705322557,0.3286599001427389,0.14076233228403526,0.15858986263884978,0,1,0,mixed,small,6,16,10,1,24,32
13A,BBCD005KSW,selected15,41,0.0,dense,2582.0,high,2748.487804878049,1355.6394085808959,6456.0,0.04878048780487805,0.5682228072895202,7.574767781429852e-05,-0.084305407982958,0.2576279976277371,0.1521236581223449,0.21580512064331756,0.035153374796430985,0,1,0,MA_or_low_AR,small,6,16,10,1,24,32
13A,BUVW001KSB,selected15,41,0.0,dense,1319.0,high,1418.5853658536585,612.2977207049588,3470.0,0.07317073170731707,3.523645525214111e-10,2.809062364109311e-07,-0.14137825618318675,0.1519569477494833,0.021369314757349045,-0.056410205399879114,-0.07281780450527726,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
13A,BUVW001KSW,selected15,41,0.0,dense,3347.0,high,4037.682926829268,1754.469954701767,9269.0,0.0975609756097561,1.1270177634000559e-10,0.00012278341539084437,-0.16623771865178097,0.06190483275974342,0.07741739371727079,0.24676266964305826,-0.0316378681703643,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
13A,BUVW100CSB,selected15,41,0.0,dense,1836.0,high,1945.4634146341464,552.6400319177474,3312.0,0.024390243902439025,1.5267400626725447e-05,0.010600254304522147,0.18983725065172863,0.1779131195678238,-0.01452777089108467,-0.050909658687823024,0.07064923903077411,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
13A,BUVW100CSW,selected15,41,0.0,dense,1548.0,high,1765.7560975609756,591.4098739659241,3324.0,0.0975609756097561,0.00019901445189740094,0.022738817714130895,0.3052330426679288,0.1685206522154557,-0.12477742468607338,-0.16557822814859186,0.16894395937348508,0,0,0,mixed,small,6,16,10,1,24,32
13A,DKLM350C,selected15,41,0.0,dense,2393.0,high,2786.9024390243903,1662.2442179908169,8784.0,0.04878048780487805,0.6729552823534983,6.349544140337567e-08,0.52291805959846,0.5404249547997055,0.5589652370414783,0.517443435516273,0.16834806377348963,0,1,0,AR_dominant,small,6,16,10,1,24,32
13A,DOPQ001K002,selected15,41,0.0,dense,3918.0,high,4527.585365853659,2330.3812882832044,11535.0,0.04878048780487805,3.7160907361513965e-05,1.2984238531435685e-18,-0.022841603264632165,-0.22413855571683491,0.15127256149900875,0.0024603672256058133,0.1059241400370639,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
13A,DOPQ001K009,selected15,41,0.0,dense,1580.0,high,1844.658536585366,944.1777271720641,4338.0,0.07317073170731707,1.3053862188554885e-12,1.5454329250399228e-09,-0.26335493428947193,-0.2006185450597949,0.33811896413773507,0.08194910865568401,0.29539296561665573,0,0,0,mixed,small,6,16,10,1,24,32
13A,DOPQ004K002,selected15,41,0.0,dense,1721.0,high,1981.2926829268292,1151.74051426314,6671.0,0.024390243902439025,3.2191540011684278e-06,2.7459171318110593e-06,-0.04859500125321646,-0.26571543577704515,0.16438257689579272,0.17161402853792143,0.12422942007866236,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
13A,FSTU001KSW,selected15,41,0.0,dense,1276.0,high,1397.4878048780488,416.07325808991976,2557.0,0.04878048780487805,3.871841764223091e-10,2.407497847989785e-07,-0.14244259173643659,0.13388045659518635,-0.043434326860729525,-0.075546444114735,0.07371784947679691,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
13I,BBCD005KSW,selected15,41,0.0,dense,1343.0,high,1401.560975609756,478.5427383620239,2715.0,0.0,0.3816392030275909,0.00011910298642689012,-0.07672192792116217,0.36835018325879876,0.26741175517602683,0.23802177551599318,0.11836297325103846,0,1,0,MA_or_low_AR,small,6,16,10,1,24,32
13I,BUVW001KSB,selected15,41,0.0,dense,2327.0,high,3535.439024390244,2612.1190827447026,13637.0,0.12195121951219512,6.714359950279159e-13,0.0003018778462853359,-0.2834874019784445,-0.014486526343752108,0.1078136588752441,-0.0033733306545987904,0.33819589988865095,1,0,1,mixed,small,6,16,10,1,24,32
13I,BUVW001KSW,selected15,41,0.0,dense,6881.0,high,9428.19512195122,7003.734968641776,27122.0,0.12195121951219512,6.398722015229701e-07,0.0015296248539469859,-0.27794137687154685,-0.064662394684905,0.1939836115608343,0.1527477508589587,0.2594632765445863,0,0,0,mixed,small,6,16,10,1,24,32
13I,BUVW100CSB,selected15,41,0.0,dense,1272.0,high,1316.780487804878,478.2193802113797,2736.0,0.024390243902439025,2.5979810313155917e-10,2.6191081163427964e-14,-0.15029438709970802,0.11701061272386654,0.14128221890980133,0.08869121201017859,0.14286000034011534,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
13I,BUVW200CSB,selected15,41,0.0,dense,1584.0,high,1662.439024390244,673.3384753888822,4044.0,0.024390243902439025,8.752920360915508e-11,0.0008301748808023153,-0.17841062092926196,0.12633220224618855,0.13571009417668892,0.12799787485885813,0.04605812543301905,0,0,0,MA_or_low_AR,small,6,16,10,1,24,32
