area,cabang,sku,periode,qty,event_flag,event_flag_lag1,holiday_count,holiday_count_lag1,rainfall_lag1,is_train,is_test,imputed,spike_flag,sample_weight,month,year,qtr
1A,02A,BUVW001KSB,2024-01-01,884.0,0,0.0,1,2.0,0.0,1,0,0,0,1.0,1,2024,1
1A,02A,BUVW001KSB,2024-02-01,589.0,0,0.0,3,1.0,0.0,1,0,0,0,1.0,2,2024,1
1A,02A,BUVW001KSB,2024-03-01,2290.0,1,0.0,4,3.0,0.0,1,0,0,1,0.8,3,2024,1
1A,02A,BUVW001KSB,2024-04-01,511.0,0,1.0,6,4.0,0.0,1,0,0,0,1.0,4,2024,2
1A,02A,BUVW001KSB,2024-05-01,1309.0,0,0.0,5,6.0,0.0,1,0,0,0,1.0,5,2024,2
1A,02A,BUVW001KSBM,2021-01-01,897.0,0,,1,,0.0,1,0,0,0,1.0,1,2021,1
1A,02A,BUVW001KSBM,2021-02-01,737.0,0,0.0,1,1.0,0.0,1,0,0,0,1.0,2,2021,1
1A,02A,BUVW001KSBM,2021-03-01,1272.0,0,0.0,4,1.0,0.0,1,0,0,0,1.0,3,2021,1
1A,02A,BUVW001KSBM,2021-04-01,474.0,0,0.0,3,4.0,0.0,1,0,0,0,1.0,4,2021,2
1A,02A,BUVW001KSBM,2021-05-01,399.0,0,0.0,5,3.0,0.0,1,0,0,0,1.0,5,2021,2
1A,02A,BUVW001KSBM,2021-06-01,1021.0,1,0.0,1,5.0,0.0,1,0,0,0,1.0,6,2021,2
1A,02A,BUVW001KSBM,2021-07-01,596.0,0,1.0,1,1.0,0.0,1,0,0,0,1.0,7,2021,3
1A,02A,BUVW001KSBM,2021-08-01,633.0,0,0.0,2,1.0,0.0,1,0,0,0,1.0,8,2021,3
1A,02A,BUVW001KSBM,2021-09-01,1491.0,0,0.0,0,2.0,0.0,1,0,0,1,0.8,9,2021,3
1A,02A,BUVW001KSBM,2021-10-01,423.0,0,0.0,1,0.0,0.0,1,0,0,0,1.0,10,2021,4
1A,02A,BUVW001KSBM,2021-11-01,1323.0,1,0.0,0,1.0,0.0,1,0,0,1,0.8,11,2021,4
1A,02A,BUVW001KSBM,2021-12-01,896.0,0,1.0,1,0.0,0.0,1,0,0,0,1.0,12,2021,4
1A,02A,BUVW001KSBM,2022-01-01,315.0,0,0.0,1,1.0,0.0,1,0,0,0,1.0,1,2022,1
1A,02A,BUVW001KSBM,2022-02-01,759.0,0,0.0,2,1.0,0.0,1,0,0,0,1.0,2,2022,1
1A,02A,BUVW001KSBM,2022-03-01,576.0,1,0.0,1,2.0,0.0,1,0,0,0,1.0,3,2022,1
1A,02A,BUVW001KSBM,2022-04-01,789.0,0,1.0,2,1.0,0.0,1,0,0,0,1.0,4,2022,2
1A,02A,BUVW001KSBM,2022-05-01,390.0,0,0.0,8,2.0,0.0,1,0,0,0,1.0,5,2022,2
1A,02A,BUVW001KSBM,2022-06-01,1194.0,0,0.0,1,8.0,0.0,1,0,0,0,1.0,6,2022,2
1A,02A,BUVW001KSBM,2022-07-01,392.0,0,0.0,2,1.0,0.0,1,0,0,0,1.0,7,2022,3
1A,02A,BUVW001KSBM,2022-08-01,407.0,0,0.0,1,2.0,0.0,1,0,0,0,1.0,8,2022,3
1A,02A,BUVW001KSBM,2022-09-01,655.0,1,0.0,0,1.0,0.0,1,0,0,0,1.0,9,2022,3
