cabang,sku,n_months,qty_mean,qty_std,qty_max,qty_min,total_qty,zero_months,zero_ratio,cv,demand_level
13I,BUVW200CSW,41,1680.878048780488,785.1310780730166,4260.0,756.0,68916.0,0,0.0,0.46709580069931045,2
13I,BUVW500CSB,41,1958.7073170731708,797.9873508991994,4428.0,949.0,80307.0,0,0.0,0.40740510026357823,2
13I,BUVW500CSW,41,2733.878048780488,1223.0318719297945,5982.0,1051.0,112089.0,0,0.0,0.4473615318998436,3
13I,CFGH001K711,41,2634.9268292682927,1858.51773451646,7363.0,699.0,108032.0,0,0.0,0.7053394097598383,3
13I,CFGH001K724,41,2269.512195121951,1499.572741182488,5095.0,550.0,93050.0,0,0.0,0.6607467209938959,3
13I,DOPQ001K002,41,4667.073170731707,3111.994701073926,11353.0,777.0,191350.0,0,0.0,0.6667979239301332,3
13I,DOPQ001K009,41,2712.1463414634145,1586.5099678378263,6116.0,400.0,111198.0,0,0.0,0.5849647357088336,3
13I,DOPQ004K002,41,1569.341463414634,1073.2725564775262,4040.0,265.0,64343.0,0,0.0,0.6838999551711697,2
13I,DOPQ004K009,41,1224.9512195121952,669.8724487251103,2712.0,362.0,50223.0,0,0.0,0.5468564282844418,1
13I,FIJK250C,41,1373.4146341463415,427.5242084145503,2592.0,796.0,56310.0,0,0.0,0.31128560726330246,1
14A,BBCD005KSW,41,1666.7073170731708,896.2299438175014,4158.0,575.0,68335.0,0,0.0,0.5377248510502313,2
14A,BUVW001KSB,41,1846.8292682926829,757.4167248760427,3400.0,758.0,75720.0,0,0.0,0.4101173497083697,2
14A,BUVW001KSW,46,4184.45652173913,1628.0660607197829,7536.0,2204.0,192485.0,0,0.0,0.3890746748739383,3
14A,BUVW050CSB,41,960.2926829268292,292.86500677807504,1644.0,396.0,39372.0,0,0.0,0.3049747352916051,0
14A,BUVW100C192,41,1152.2926829268292,662.4580833495218,3876.0,444.0,47244.0,0,0.0,0.5749043564755396,1
14A,BUVW100CSB,41,2496.5853658536585,658.3394631802714,4008.0,1332.0,102360.0,0,0.0,0.26369595535747486,3
14A,BUVW100CSW,41,1949.8536585365853,733.4008985873829,4308.0,840.0,79944.0,0,0.0,0.37613125240271567,2
14A,BUVW200CSB,41,1395.8048780487804,457.5246014976788,2472.0,600.0,57228.0,0,0.0,0.3277855011778296,1
14A,BUVW200CSW,41,1428.2926829268292,544.4449579113779,3132.0,588.0,58560.0,0,0.0,0.3811858482644551,1
