cabang,sku,feature,corr
13I,CFGH001K724,event_flag,0.6342842892579944
13I,CFGH001K724,event_flag_lag1,-0.43477949203744715
13I,CFGH001K724,holiday_count,-0.15844614006901542
13I,CFGH001K724,holiday_count_lag1,0.1470004795977788
13I,CFGH001K724,rainfall_lag1,
13I,DOPQ001K002,event_flag,0.5647621568891396
13I,DOPQ001K002,event_flag_lag1,-0.38840722352698487
13I,DOPQ001K002,holiday_count,-0.022909997371954344
13I,DOPQ001K002,holiday_count_lag1,-0.003063405326054219
13I,DOPQ001K002,rainfall_lag1,
13I,DOPQ001K009,event_flag,0.491921447323492
13I,DOPQ001K009,event_flag_lag1,-0.24014064459015919
13I,DOPQ001K009,holiday_count,-0.1306085919559419
13I,DOPQ001K009,holiday_count_lag1,0.04388572553464416
13I,DOPQ001K009,rainfall_lag1,
13I,DOPQ004K002,event_flag,0.5795874775660541
13I,DOPQ004K002,event_flag_lag1,-0.20561311532746587
13I,DOPQ004K002,holiday_count,-0.06163266542710499
13I,DOPQ004K002,holiday_count_lag1,0.10691300700651933
13I,DOPQ004K002,rainfall_lag1,
13I,DOPQ004K009,event_flag,0.5136999798942138
13I,DOPQ004K009,event_flag_lag1,-0.24859158106942095
13I,DOPQ004K009,holiday_count,-0.0662959522041911
13I,DOPQ004K009,holiday_count_lag1,0.16720434911312884
13I,DOPQ004K009,rainfall_lag1,
13I,FIJK250C,event_flag,0.2551601956572025
13I,FIJK250C,event_flag_lag1,-0.3924508023274585
13I,FIJK250C,holiday_count,-0.12413825581226119
13I,FIJK250C,holiday_count_lag1,0.33266785558498024
13I,FIJK250C,rainfall_lag1,
14A,BBCD005KSW,event_flag,0.07469582154808331
14A,BBCD005KSW,event_flag_lag1,0.27161904793409963
14A,BBCD005KSW,holiday_count,0.10134720879152576
14A,BBCD005KSW,holiday_count_lag1,0.039937887156758105
14A,BBCD005KSW,rainfall_lag1,
14A,BUVW001KSB,event_flag,0.19540259478294805
14A,BUVW001KSB,event_flag_lag1,0.12049351659086598
14A,BUVW001KSB,holiday_count,0.004367751494526264
14A,BUVW001KSB,holiday_count_lag1,0.13980615957052492
14A,BUVW001KSB,rainfall_lag1,
14A,BUVW001KSW,event_flag,0.0881950813625602
14A,BUVW001KSW,event_flag_lag1,0.04853965697185437
14A,BUVW001KSW,holiday_count,0.019879090433679955
14A,BUVW001KSW,holiday_count_lag1,0.2068722041495415
14A,BUVW001KSW,rainfall_lag1,
14A,BUVW050CSB,event_flag,0.03048165426823543
14A,BUVW050CSB,event_flag_lag1,0.03217655407512345
14A,BUVW050CSB,holiday_count,-0.1037958332480087
14A,BUVW050CSB,holiday_count_lag1,0.1889790774235518
14A,BUVW050CSB,rainfall_lag1,
14A,BUVW100C192,event_flag,0.03412056361578121
14A,BUVW100C192,event_flag_lag1,-0.1791422527834749
14A,BUVW100C192,holiday_count,-0.16935484586529223
14A,BUVW100C192,holiday_count_lag1,0.17156301790747455
14A,BUVW100C192,rainfall_lag1,
14A,BUVW100CSB,event_flag,-0.043116585774943726
14A,BUVW100CSB,event_flag_lag1,-0.15536731538241283
14A,BUVW100CSB,holiday_count,-0.02235344501284378
14A,BUVW100CSB,holiday_count_lag1,0.3766517449728318
14A,BUVW100CSB,rainfall_lag1,
14A,BUVW100CSW,event_flag,0.03476188344408136
14A,BUVW100CSW,event_flag_lag1,-0.1372918894765305
14A,BUVW100CSW,holiday_count,-0.0009721536931433391
14A,BUVW100CSW,holiday_count_lag1,0.2394169241453689
14A,BUVW100CSW,rainfall_lag1,
14A,BUVW200CSB,event_flag,-0.05950672733394102
14A,BUVW200CSB,event_flag_lag1,-0.05279878235078652
14A,BUVW200CSB,holiday_count,0.05971585437113501
14A,BUVW200CSB,holiday_count_lag1,0.37603898227340254
14A,BUVW200CSB,rainfall_lag1,
14A,BUVW200CSW,event_flag,-0.01350817601271163
14A,BUVW200CSW,event_flag_lag1,-0.07421931130631147
14A,BUVW200CSW,holiday_count,0.08487567178389899
14A,BUVW200CSW,holiday_count_lag1,0.32402969371677803
14A,BUVW200CSW,rainfall_lag1,
14A,DOPQ001K002,event_flag,0.20527688673738406
14A,DOPQ001K002,event_flag_lag1,0.042801775687711784
14A,DOPQ001K002,holiday_count,0.01970233203281385
14A,DOPQ001K002,holiday_count_lag1,-0.08005758145831658
14A,DOPQ001K002,rainfall_lag1,
14A,DOPQ001K007,event_flag,0.26340710574541154
14A,DOPQ001K007,event_flag_lag1,-0.00782731096090434
14A,DOPQ001K007,holiday_count,-0.050696368060200524
