cabang,sku,n_train,zero_ratio,imputed_ratio,spike_ratio,qty_mean,qty_median,qty_std,qty_min,qty_max
23A,BNOP400CHAR,41.0,0.0,0.0,0.0,1985.3902439024391,1913.0,646.3025946895456,1079.0,3910.0
23A,BNOP400CPOX,41.0,0.0,0.0,0.0,1985.3902439024391,1913.0,646.3025946895456,1079.0,3910.0
23A,BUVW001KSB,41.0,0.0,0.0,0.024390243902439025,1976.3902439024391,1862.0,709.8277917230622,1010.0,4638.0
23A,BUVW001KSW,41.0,0.0,0.0,0.12195121951219512,5989.975609756098,5284.0,2505.462906209199,2448.0,14506.0
23A,BUVW200CSW,41.0,0.0,0.0,0.04878048780487805,1327.9024390243903,1284.0,342.5533392683575,840.0,2340.0
23A,FIJK250C,41.0,0.0,0.0,0.024390243902439025,1298.780487804878,1226.0,352.83491268545987,790.0,2729.0
29A,APQR005KSW,41.0,0.0,0.0,0.04878048780487805,961.5365853658536,864.0,339.3205046531211,492.0,2081.0
29A,BKLM200CHAR,41.0,0.0,0.0,0.07317073170731707,1361.0731707317073,932.0,1361.2069532265089,228.0,6229.0
29A,BKLM200CPOX,41.0,0.0,0.0,0.07317073170731707,1361.0731707317073,932.0,1361.2069532265089,228.0,6229.0
29A,BNOP400CHAR,41.0,0.0,0.0,0.07317073170731707,888.8048780487804,646.0,652.7648205713983,267.0,3012.0
29A,BNOP400CPOX,41.0,0.0,0.0,0.07317073170731707,888.8048780487804,646.0,652.7648205713983,267.0,3012.0
29A,BUVW001K192,41.0,0.0,0.0,0.0975609756097561,687.9268292682926,576.0,501.27264987449206,126.0,2782.0
29A,BUVW001K306,41.0,0.0,0.0,0.0975609756097561,904.0487804878048,759.0,537.4846486747093,351.0,3300.0
29A,BUVW001KSB,41.0,0.0,0.0,0.12195121951219512,2053.4634146341464,1578.0,1436.3931929934954,556.0,8437.0
29A,BUVW001KSW,41.0,0.0,0.0,0.12195121951219512,4059.9268292682927,3167.0,2782.1579159911457,1104.0,15225.0
29A,BUVW200CSB,41.0,0.0,0.0,0.0975609756097561,1017.3658536585366,864.0,445.92968930637267,504.0,2544.0
29A,BUVW200CSW,41.0,0.0,0.0,0.04878048780487805,1115.7073170731708,1044.0,575.696718937256,396.0,2664.0
29A,BVWX001KA,41.0,0.0,0.0,0.07317073170731707,1027.219512195122,912.0,729.7762503738774,408.0,3732.0
29A,BVWX001KBAS,41.0,0.0,0.0,0.0975609756097561,1668.9268292682927,1380.0,1091.8507542298055,504.0,5784.0
29A,FIJK250C,41.0,0.0,0.0,0.024390243902439025,583.9756097560976,500.0,291.7658725592216,168.0,1306.0
29A,FQRS001KLOO,41.0,0.0,0.0,0.04878048780487805,690.6341463414634,594.0,294.3851011937901,228.0,1608.0
