cabang,sku,n_train,n_zero,zero_ratio,imputed_ratio,spike_ratio,qty_mean,qty_median,qty_std,qty_min,qty_max,scale_bucket,zero_bucket
13I,BBCD005K040,41.0,0.0,0.0,0.0,0.0,62.829268292682926,61.0,26.469701961888795,14.0,124.0,high,dense
13I,BBCD005K050,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,24.51219512195122,24.0,16.054784257690155,0.0,91.0,medium,dense
13I,BBCD005K093,41.0,1.0,0.024390243902439025,0.024390243902439025,0.0,13.951219512195122,14.0,7.5198112327112145,0.0,36.0,medium,dense
13I,BBCD005K260,41.0,12.0,0.2926829268292683,0.2926829268292683,0.0,4.073170731707317,4.0,3.8235470698190634,0.0,15.0,low,semi_sparse
13I,BBCD005K522,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,22.463414634146343,22.0,13.621852959446468,0.0,76.0,medium,dense
13I,BBCD005K600,41.0,7.0,0.17073170731707318,0.17073170731707318,0.024390243902439025,5.7073170731707314,4.0,5.287929190330674,0.0,26.0,low,dense
13I,BBCD005K601,41.0,0.0,0.0,0.0,0.0,58.24390243902439,54.0,28.740024780612906,16.0,132.0,high,dense
13I,BBCD005K602,41.0,0.0,0.0,0.0,0.0,30.463414634146343,26.0,14.106908876461224,6.0,59.0,medium,dense
13I,BBCD005K610,40.0,8.0,0.2,0.175,0.075,8.1,6.0,8.493738266722712,0.0,32.0,medium,dense
13I,BBCD005K615,40.0,11.0,0.275,0.275,0.075,7.125,4.0,8.121473593710277,0.0,32.0,low,semi_sparse
13I,BBCD005K620,41.0,0.0,0.0,0.0,0.024390243902439025,22.75609756097561,22.0,11.204419859602009,4.0,58.0,medium,dense
13I,BBCD005K621,41.0,3.0,0.07317073170731707,0.07317073170731707,0.0975609756097561,9.390243902439025,6.0,7.621935609740113,0.0,27.0,medium,dense
13I,BBCD005K630,41.0,8.0,0.1951219512195122,0.1951219512195122,0.04878048780487805,5.926829268292683,6.0,5.081290406493409,0.0,22.0,medium,dense
13I,BBCD005K650,41.0,6.0,0.14634146341463414,0.14634146341463414,0.024390243902439025,10.390243902439025,6.0,9.099115475639618,0.0,36.0,medium,dense
13I,BBCD005K660,40.0,14.0,0.35,0.35,0.0,4.025,4.0,3.9774202436845663,0.0,14.0,low,semi_sparse
13I,BBCD005K661,41.0,5.0,0.12195121951219512,0.0975609756097561,0.024390243902439025,14.902439024390244,12.0,12.696071987132045,0.0,58.0,medium,dense
13I,BBCD005K670,41.0,0.0,0.0,0.0,0.0,62.24390243902439,59.0,25.249535132161224,14.0,124.0,high,dense
13I,BBCD005K671,41.0,0.0,0.0,0.0,0.0,36.24390243902439,37.0,10.528011416703722,16.0,54.0,medium,dense
13I,BBCD005K675,41.0,0.0,0.0,0.0,0.024390243902439025,36.78048780487805,32.0,18.029853292694803,12.0,96.0,medium,dense
13I,BBCD005K680,41.0,0.0,0.0,0.0,0.024390243902439025,19.804878048780488,19.0,11.556858379756848,4.0,54.0,medium,dense
13I,BBCD005K700,41.0,0.0,0.0,0.0,0.024390243902439025,27.926829268292682,27.0,16.391141271892018,6.0,74.0,medium,dense
13I,BBCD005K710,41.0,0.0,0.0,0.0,0.024390243902439025,33.5609756097561,29.0,20.31015605613089,8.0,80.0,medium,dense
13I,BBCD005K711,41.0,0.0,0.0,0.0,0.024390243902439025,15.512195121951219,16.0,10.281347069376444,2.0,48.0,medium,dense
13I,BBCD005K712,41.0,0.0,0.0,0.0,0.024390243902439025,22.634146341463413,18.0,14.962880901686304,2.0,61.0,medium,dense
13I,BBCD005K720,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,25.951219512195124,22.0,19.382919309939094,0.0,93.0,medium,dense
13I,BBCD005K730,41.0,8.0,0.1951219512195122,0.1951219512195122,0.024390243902439025,6.585365853658536,6.0,5.822265923831106,0.0,25.0,medium,dense
13I,BBCD005K735,41.0,3.0,0.07317073170731707,0.07317073170731707,0.04878048780487805,12.560975609756097,10.0,10.15393711938331,0.0,46.0,medium,dense
13I,BBCD005K740,41.0,1.0,0.024390243902439025,0.024390243902439025,0.04878048780487805,10.926829268292684,8.0,8.27765136950826,0.0,40.0,medium,dense
13I,BBCD005K745,41.0,0.0,0.0,0.0,0.0,36.829268292682926,32.0,21.501049322096343,6.0,87.0,medium,dense
13I,BBCD005K750,41.0,3.0,0.07317073170731707,0.07317073170731707,0.0,14.975609756097562,12.0,10.522565763344149,0.0,40.0,medium,dense
13I,BBCD005K751,41.0,2.0,0.04878048780487805,0.04878048780487805,0.024390243902439025,8.292682926829269,7.0,6.435230774568323,0.0,27.0,medium,dense
13I,BBCD005K752,41.0,0.0,0.0,0.0,0.0,27.097560975609756,28.0,14.252727595181177,2.0,58.0,medium,dense
13I,BBCD005K755,41.0,0.0,0.0,0.0,0.04878048780487805,47.73170731707317,38.0,32.71927901883223,4.0,159.0,medium,dense
13I,BBCD005K765,41.0,1.0,0.024390243902439025,0.024390243902439025,0.024390243902439025,25.78048780487805,18.0,19.123953821218496,0.0,84.0,medium,dense
13I,BBCD005K770,41.0,0.0,0.0,0.0,0.024390243902439025,63.97560975609756,57.0,38.07918578756514,15.0,182.0,high,dense
13I,BBCD005K771,41.0,0.0,0.0,0.0,0.04878048780487805,46.926829268292686,39.0,23.97226547898888,14.0,119.0,medium,dense
13I,BBCD005K772,41.0,6.0,0.14634146341463414,0.14634146341463414,0.0975609756097561,9.512195121951219,8.0,9.386484835175285,0.0,40.0,medium,dense
13I,BBCD005K775,41.0,3.0,0.07317073170731707,0.07317073170731707,0.07317073170731707,11.658536585365853,8.0,9.837707446599438,0.0,46.0,medium,dense
13I,BBCD005K776,41.0,0.0,0.0,0.0,0.024390243902439025,17.804878048780488,15.0,12.712630554285612,2.0,52.0,medium,dense
13I,BBCD005K812,41.0,3.0,0.07317073170731707,0.07317073170731707,0.04878048780487805,8.195121951219512,8.0,5.541748425339795,0.0,25.0,medium,dense
13I,BBCD005K816,41.0,0.0,0.0,0.0,0.024390243902439025,19.75609756097561,17.0,11.14849875051542,2.0,54.0,medium,dense
13I,BBCD005K818,41.0,3.0,0.07317073170731707,0.07317073170731707,0.04878048780487805,9.414634146341463,8.0,6.553531909421428,0.0,27.0,medium,dense
13I,BBCD005K831,41.0,0.0,0.0,0.0,0.0,47.73170731707317,44.0,21.72443830141979,17.0,109.0,medium,dense
13I,BBCD005K892,41.0,0.0,0.0,0.0,0.0,37.390243902439025,40.0,16.11812341555382,8.0,71.0,medium,dense
