cabang,sku,n_months,nonzero_months,total_qty,qty_12m,qty_6m,has_may24,zero_ratio_train,n_train,last_nz,months_since_last_nz,alive_recent,eligible_model
23A,BFGH001KBC,7,6,115.0,115.0,91.0,False,0.14285714285714285,7.0,2024-04-01,1,1,0
23A,BFGH001KSB,1,1,2.0,2.0,2.0,False,0.0,1.0,2024-01-01,4,0,0
23A,BFGH001KSW,5,4,14.0,14.0,14.0,False,0.2,5.0,2024-02-01,3,1,0
23A,BFGH005K040,20,15,242.0,172.0,146.0,False,0.25,20.0,2024-04-01,1,1,0
23A,BFGH005K601,20,17,281.0,169.0,119.0,False,0.15,20.0,2024-04-01,1,1,0
23A,BFGH005K602,20,15,240.0,146.0,106.0,False,0.25,20.0,2024-04-01,1,1,0
23A,BFGH005K620,19,14,187.0,117.0,72.0,False,0.2631578947368421,19.0,2024-03-01,2,1,0
23A,BFGH005K670,19,16,151.0,87.0,69.0,False,0.15789473684210525,19.0,2024-03-01,2,1,0
23A,BFGH005K680,19,17,195.0,148.0,120.0,False,0.10526315789473684,19.0,2024-03-01,2,1,0
23A,BFGH005K700,19,16,263.0,186.0,148.0,False,0.15789473684210525,19.0,2024-03-01,2,1,0
23A,BFGH005K710,19,16,216.0,118.0,98.0,False,0.15789473684210525,19.0,2024-03-01,2,1,0
23A,BFGH005K712,19,19,350.0,248.0,188.0,False,0.0,19.0,2024-03-01,2,1,0
23A,BFGH005K720,20,18,236.0,164.0,122.0,False,0.1,20.0,2024-04-01,1,1,0
23A,BFGH005K725,20,16,126.0,88.0,70.0,False,0.2,20.0,2024-04-01,1,1,0
23A,BFGH005K735,19,17,288.0,228.0,192.0,False,0.10526315789473684,19.0,2024-03-01,2,1,0
23A,BFGH005K745,19,17,247.0,164.0,124.0,False,0.10526315789473684,19.0,2024-03-01,2,1,0
23A,BFGH005K752,19,13,146.0,82.0,62.0,False,0.3157894736842105,19.0,2024-03-01,2,1,0
23A,BFGH005K755,19,19,268.0,170.0,112.0,False,0.0,19.0,2024-03-01,2,1,0
23A,BFGH005K765,20,15,195.0,125.0,81.0,False,0.25,20.0,2024-04-01,1,1,0
23A,BFGH005K770,20,19,394.0,226.0,146.0,False,0.05,20.0,2024-04-01,1,1,0
23A,BFGH005K771,19,18,404.0,270.0,210.0,False,0.05263157894736842,19.0,2024-03-01,2,1,0
23A,BFGH005K831,19,14,145.0,89.0,75.0,False,0.2631578947368421,19.0,2024-03-01,2,1,0
23A,BFGH005K888B18006,1,1,1.0,1.0,1.0,False,0.0,1.0,2024-01-01,4,0,0
23A,BFGH005K888B2006,1,1,1.0,1.0,1.0,False,0.0,1.0,2023-09-01,8,0,0
23A,BFGH005K888G9005,1,1,1.0,1.0,1.0,False,0.0,1.0,2024-03-01,2,1,0
23A,BFGH005K888N14006,1,1,1.0,1.0,1.0,False,0.0,1.0,2024-04-01,1,1,0
23A,BFGH005K888R13006,1,1,1.0,1.0,1.0,False,0.0,1.0,2023-09-01,8,0,0
23A,BFGH005K888Y6006,1,1,1.0,1.0,1.0,False,0.0,1.0,2023-09-01,8,0,0
23A,BFGH005K901,19,8,77.0,41.0,38.0,False,0.5789473684210527,19.0,2024-03-01,2,1,0
23A,BFGH005K902,17,8,56.0,48.0,44.0,False,0.5294117647058824,17.0,2024-02-01,3,1,0
23A,BFGH005K903,19,13,112.0,84.0,64.0,False,0.3157894736842105,19.0,2024-03-01,2,1,0
23A,BFGH005K904,18,8,46.0,24.0,16.0,False,0.5555555555555556,18.0,2024-03-01,2,1,0
23A,BFGH005K905,19,11,82.0,52.0,44.0,False,0.42105263157894735,19.0,2024-03-01,2,1,0
23A,BFGH005K906,19,10,96.0,68.0,56.0,False,0.47368421052631576,19.0,2024-03-01,2,1,0
23A,BFGH005K907,20,10,84.0,36.0,24.0,False,0.5,20.0,2024-04-01,1,1,0
23A,BFGH005K908,18,4,36.0,16.0,16.0,False,0.7777777777777778,18.0,2024-03-01,2,1,0
23A,BFGH005K909,19,13,146.0,130.0,64.0,False,0.3157894736842105,19.0,2024-03-01,2,1,0
23A,BFGH005K910,20,10,56.0,20.0,12.0,False,0.5,20.0,2024-04-01,1,1,0
23A,BFGH005K911,19,9,82.0,48.0,36.0,False,0.5263157894736842,19.0,2024-03-01,2,1,0
23A,BFGH005K912,19,12,108.0,56.0,44.0,False,0.3684210526315789,19.0,2024-03-01,2,1,0
23A,BFGH005K913,20,14,182.0,108.0,84.0,False,0.3,20.0,2024-04-01,1,1,0
23A,BFGH005K914,20,9,61.0,32.0,32.0,False,0.55,20.0,2024-04-01,1,1,0
23A,BFGH005K915,20,14,160.0,124.0,82.0,False,0.3,20.0,2024-04-01,1,1,0
23A,BFGH005K916,20,19,297.0,198.0,120.0,False,0.05,20.0,2024-04-01,1,1,0
23A,BFGH005K917,20,14,129.0,99.0,60.0,False,0.3,20.0,2024-04-01,1,1,0
23A,BFGH005K918,19,17,226.0,146.0,120.0,False,0.10526315789473684,19.0,2024-03-01,2,1,0
23A,BFGH005K919,20,12,114.0,54.0,46.0,False,0.4,20.0,2024-04-01,1,1,0
23A,BFGH005KBA,20,20,1865.0,1062.0,564.0,False,0.0,20.0,2024-04-01,1,1,0
23A,BFGH005KBB,20,20,1313.0,684.0,389.0,False,0.0,20.0,2024-04-01,1,1,0
