periode,cabang,event_flag,holiday_count,rainfall
2021-09-01,05A,0,0,0.0
2021-10-01,05A,0,1,0.0
2021-11-01,05A,0,0,0.0
2021-12-01,05A,1,1,0.0
2022-01-01,05A,0,1,0.0
2022-02-01,05A,0,2,0.0
2022-03-01,05A,1,1,0.0
2022-04-01,05A,0,2,0.0
2022-05-01,05A,0,8,0.0
2022-06-01,05A,0,1,0.0
2022-07-01,05A,0,2,0.0
2022-08-01,05A,0,1,0.0
2022-09-01,05A,1,0,0.0
2022-10-01,05A,0,1,0.0
2022-11-01,05A,1,0,0.0
2022-12-01,05A,0,1,0.0
2023-01-01,05A,0,3,0.0
2023-02-01,05A,0,1,0.0
2023-03-01,05A,1,2,0.0
2023-04-01,05A,0,8,0.0
2023-05-01,05A,0,2,0.0
2023-06-01,05A,1,6,0.0
2023-07-01,05A,0,1,0.0
2023-08-01,05A,1,1,0.0
2023-09-01,05A,0,1,0.0
2023-10-01,05A,0,0,0.0
2023-11-01,05A,1,0,0.0
2023-12-01,05A,0,2,0.0
2024-01-01,05A,0,1,0.0
2024-02-01,05A,0,3,0.0
2024-03-01,05A,1,4,0.0
2024-04-01,05A,0,6,0.0
2024-05-01,05A,0,5,0.0
2024-06-01,05A,0,3,0.0
2024-07-01,05A,0,1,0.0
2024-08-01,05A,1,1,0.0
2024-09-01,05A,0,1,0.0
2024-10-01,05A,1,0,0.0
2021-01-01,13A,0,1,0.0
2021-02-01,13A,0,1,0.0
2021-03-01,13A,0,4,0.0
2021-04-01,13A,0,3,0.0
2021-05-01,13A,0,5,0.0
2021-06-01,13A,0,1,0.0
2021-07-01,13A,1,1,0.0
2021-08-01,13A,0,2,0.0
2021-09-01,13A,0,0,0.0
2021-10-01,13A,0,1,0.0
2021-11-01,13A,1,0,0.0
2021-12-01,13A,0,1,0.0
2022-01-01,13A,0,1,0.0
2022-02-01,13A,0,2,0.0
2022-03-01,13A,0,1,0.0
2022-04-01,13A,0,2,0.0
2022-05-01,13A,0,8,0.0
2022-06-01,13A,1,1,0.0
2022-07-01,13A,0,2,0.0
2022-08-01,13A,0,1,0.0
2022-09-01,13A,1,0,0.0
2022-10-01,13A,0,1,0.0
2022-11-01,13A,1,0,0.0
2022-12-01,13A,0,1,0.0
2023-01-01,13A,0,3,0.0
2023-02-01,13A,0,1,0.0
2023-03-01,13A,0,2,0.0
2023-04-01,13A,0,8,0.0
2023-05-01,13A,0,2,0.0
2023-06-01,13A,1,6,0.0
2023-07-01,13A,0,1,0.0
2023-08-01,13A,0,1,0.0
2023-09-01,13A,1,1,0.0
2023-10-01,13A,0,0,0.0
2023-11-01,13A,0,0,0.0
2023-12-01,13A,0,2,0.0
2024-01-01,13A,0,1,0.0
2024-02-01,13A,1,3,0.0
2024-03-01,13A,0,4,0.0
2024-04-01,13A,0,6,0.0
2024-05-01,13A,0,5,0.0
2024-06-01,13A,0,3,0.0
2024-07-01,13A,0,1,0.0
2024-08-01,13A,0,1,0.0
2024-09-01,13A,1,1,0.0
2024-10-01,13A,0,0,0.0
2021-01-01,13I,0,1,0.0
2021-02-01,13I,0,1,0.0
2021-03-01,13I,0,4,0.0
2021-04-01,13I,0,3,0.0
2021-05-01,13I,0,5,0.0
2021-06-01,13I,1,1,0.0
2021-07-01,13I,0,1,0.0
2021-08-01,13I,0,2,0.0
2021-09-01,13I,0,0,0.0
2021-10-01,13I,0,1,0.0
2021-11-01,13I,1,0,0.0
2021-12-01,13I,0,1,0.0
2022-01-01,13I,0,1,0.0
2022-02-01,13I,0,2,0.0
2022-03-01,13I,0,1,0.0
2022-04-01,13I,1,2,0.0
2022-05-01,13I,0,8,0.0
2022-06-01,13I,1,1,0.0
2022-07-01,13I,0,2,0.0
2022-08-01,13I,0,1,0.0
2022-09-01,13I,1,0,0.0
2022-10-01,13I,1,1,0.0
2022-11-01,13I,0,0,0.0
2022-12-01,13I,1,1,0.0
2023-01-01,13I,0,3,0.0
2023-02-01,13I,0,1,0.0
2023-03-01,13I,1,2,0.0
2023-04-01,13I,0,8,0.0
2023-05-01,13I,0,2,0.0
2023-06-01,13I,1,6,0.0
2023-07-01,13I,0,1,0.0
2023-08-01,13I,0,1,0.0
2023-09-01,13I,1,1,0.0
2023-10-01,13I,1,0,0.0
2023-11-01,13I,0,0,0.0
2023-12-01,13I,0,2,0.0
2024-01-01,13I,0,1,0.0
2024-02-01,13I,0,3,0.0
2024-03-01,13I,1,4,0.0
2024-04-01,13I,0,6,0.0
2024-05-01,13I,0,5,0.0
2024-06-01,13I,0,3,0.0
2024-07-01,13I,0,1,0.0
2024-08-01,13I,0,1,0.0
2024-09-01,13I,1,1,0.0
2024-10-01,13I,1,0,0.0
2021-01-01,14A,0,1,0.0
2021-02-01,14A,0,1,0.0
2021-03-01,14A,1,4,0.0
2021-04-01,14A,0,3,0.0
2021-05-01,14A,0,5,0.0
2021-06-01,14A,0,1,0.0
2021-07-01,14A,0,1,0.0
2021-08-01,14A,0,2,0.0
2021-09-01,14A,0,0,0.0
2021-10-01,14A,0,1,0.0
2021-11-01,14A,1,0,0.0
2021-12-01,14A,0,1,0.0
2022-01-01,14A,0,1,0.0
2022-02-01,14A,0,2,0.0
2022-03-01,14A,1,1,0.0
2022-04-01,14A,0,2,0.0
2022-05-01,14A,0,8,0.0
2022-06-01,14A,0,1,0.0
2022-07-01,14A,0,2,0.0
2022-08-01,14A,1,1,0.0
2022-09-01,14A,1,0,0.0
2022-10-01,14A,0,1,0.0
2022-11-01,14A,0,0,0.0
2022-12-01,14A,1,1,0.0
2023-01-01,14A,0,3,0.0
2023-02-01,14A,1,1,0.0
2023-03-01,14A,1,2,0.0
2023-04-01,14A,0,8,0.0
2023-05-01,14A,0,2,0.0
2023-06-01,14A,1,6,0.0
2023-07-01,14A,0,1,0.0
2023-08-01,14A,0,1,0.0
2023-09-01,14A,1,1,0.0
2023-10-01,14A,1,0,0.0
2023-11-01,14A,0,0,0.0
2023-12-01,14A,0,2,0.0
2024-01-01,14A,0,1,0.0
2024-02-01,14A,1,3,0.0
2024-03-01,14A,0,4,0.0
2024-04-01,14A,0,6,0.0
2024-05-01,14A,0,5,0.0
2024-06-01,14A,0,3,0.0
2024-07-01,14A,0,1,0.0
2024-08-01,14A,1,1,0.0
2024-09-01,14A,0,1,0.0
2024-10-01,14A,1,0,0.0
2021-01-01,16C,0,1,382.7
2021-02-01,16C,0,1,560.8
2021-03-01,16C,1,4,307.9
2021-04-01,16C,0,3,63.3
2021-05-01,16C,0,5,145.775
2021-06-01,16C,0,1,91.175
2021-07-01,16C,0,1,0.0
2021-08-01,16C,0,2,1.9
2021-09-01,16C,1,0,93.0
2021-10-01,16C,0,1,16.3
2021-11-01,16C,0,0,169.0
2021-12-01,16C,0,1,521.9
2022-01-01,16C,0,1,305.6
2022-02-01,16C,0,2,264.0
2022-03-01,16C,0,1,348.0
2022-04-01,16C,1,2,98.60000000000001
2022-05-01,16C,0,8,142.4
2022-06-01,16C,1,1,117.35
2022-07-01,16C,0,2,26.65
2022-08-01,16C,0,1,2.1
2022-09-01,16C,1,0,23.1
2022-10-01,16C,1,1,385.15
2022-11-01,16C,0,0,314.05
2022-12-01,16C,1,1,245.95
2023-01-01,16C,0,3,197.75
2023-02-01,16C,1,1,366.3
2023-03-01,16C,1,2,155.75
2023-04-01,16C,0,8,206.7
2023-05-01,16C,0,2,23.85
2023-06-01,16C,1,6,15.3
2023-07-01,16C,0,1,68.05
2023-08-01,16C,0,1,0.0
2023-09-01,16C,1,1,10.0
2023-10-01,16C,1,0,1.0
2023-11-01,16C,0,0,123.25
2023-12-01,16C,0,2,182.9
2024-01-01,16C,0,1,172.8
2024-02-01,16C,0,3,368.75
2024-03-01,16C,1,4,112.2
2024-04-01,16C,0,6,232.05
2024-05-01,16C,0,5,29.4
2024-06-01,16C,0,3,19.1
2024-07-01,16C,0,1,12.799999999999999
2024-08-01,16C,1,1,0.0
2024-09-01,16C,0,1,15.55
2024-10-01,16C,0,0,23.1
2021-01-01,17A,0,1,0.0
2021-02-01,17A,0,1,0.0
2021-03-01,17A,0,4,0.0
2021-04-01,17A,0,3,0.0
2021-05-01,17A,0,5,0.0
2021-06-01,17A,1,1,0.0
2021-07-01,17A,0,1,0.0
2021-08-01,17A,0,2,0.0
2021-09-01,17A,0,0,0.0
2021-10-01,17A,0,1,0.0
2021-11-01,17A,1,0,0.0
2021-12-01,17A,0,1,0.0
2022-01-01,17A,0,1,0.0
2022-02-01,17A,0,2,0.0
2022-03-01,17A,0,1,0.0
2022-04-01,17A,1,2,0.0
2022-05-01,17A,0,8,0.0
2022-06-01,17A,1,1,0.0
2022-07-01,17A,0,2,0.0
2022-08-01,17A,1,1,0.0
2022-09-01,17A,1,0,0.0
2022-10-01,17A,0,1,0.0
2022-11-01,17A,0,0,0.0
2022-12-01,17A,1,1,0.0
2023-01-01,17A,0,3,0.0
2023-02-01,17A,1,1,0.0
2023-03-01,17A,1,2,0.0
2023-04-01,17A,0,8,0.0
2023-05-01,17A,0,2,0.0
2023-06-01,17A,1,6,0.0
2023-07-01,17A,0,1,0.0
2023-08-01,17A,0,1,0.0
2023-09-01,17A,1,1,0.0
2023-10-01,17A,1,0,0.0
2023-11-01,17A,0,0,0.0
2023-12-01,17A,0,2,0.0
2024-01-01,17A,0,1,0.0
2024-02-01,17A,1,3,0.0
2024-03-01,17A,1,4,0.0
2024-04-01,17A,0,6,0.0
2024-05-01,17A,0,5,0.0
2024-06-01,17A,0,3,0.0
2024-07-01,17A,0,1,0.0
2024-08-01,17A,1,1,0.0
2024-09-01,17A,0,1,0.0
2024-10-01,17A,1,0,0.0
2021-01-01,23A,0,1,0.0
2021-02-01,23A,0,1,0.0
2021-03-01,23A,0,4,0.0
2021-04-01,23A,0,3,0.0
2021-05-01,23A,0,5,0.0
2021-06-01,23A,1,1,0.0
2021-07-01,23A,0,1,0.0
2021-08-01,23A,0,2,0.0
2021-09-01,23A,0,0,0.0
2021-10-01,23A,0,1,0.0
2021-11-01,23A,1,0,0.0
2021-12-01,23A,0,1,0.0
2022-01-01,23A,0,1,0.0
2022-02-01,23A,0,2,0.0
2022-03-01,23A,0,1,0.0
2022-04-01,23A,0,2,0.0
2022-05-01,23A,0,8,0.0
2022-06-01,23A,1,1,0.0
2022-07-01,23A,0,2,0.0
2022-08-01,23A,0,1,0.0
2022-09-01,23A,1,0,0.0
2022-10-01,23A,0,1,0.0
2022-11-01,23A,1,0,0.0
2022-12-01,23A,0,1,0.0
2023-01-01,23A,0,3,0.0
2023-02-01,23A,1,1,0.0
2023-03-01,23A,1,2,0.0
2023-04-01,23A,0,8,0.0
2023-05-01,23A,0,2,0.0
2023-06-01,23A,1,6,0.0
2023-07-01,23A,0,1,0.0
2023-08-01,23A,0,1,0.0
2023-09-01,23A,1,1,0.0
2023-10-01,23A,1,0,0.0
2023-11-01,23A,0,0,0.0
2023-12-01,23A,0,2,0.0
2024-01-01,23A,0,1,0.0
2024-02-01,23A,1,3,0.0
2024-03-01,23A,1,4,0.0
2024-04-01,23A,0,6,0.0
2024-05-01,23A,0,5,0.0
2024-06-01,23A,0,3,0.0
2024-07-01,23A,0,1,0.0
2024-08-01,23A,0,1,0.0
2024-09-01,23A,1,1,0.0
2024-10-01,23A,0,0,0.0
2021-01-01,29A,0,1,0.0
2021-02-01,29A,0,1,0.0
2021-03-01,29A,0,4,0.0
2021-04-01,29A,0,3,0.0
2021-05-01,29A,0,5,0.0
2021-06-01,29A,1,1,0.0
2021-07-01,29A,0,1,0.0
2021-08-01,29A,0,2,0.0
2021-09-01,29A,0,0,0.0
2021-10-01,29A,0,1,0.0
2021-11-01,29A,1,0,0.0
2021-12-01,29A,0,1,0.0
2022-01-01,29A,0,1,0.0
2022-02-01,29A,0,2,0.0
2022-03-01,29A,0,1,0.0
2022-04-01,29A,0,2,0.0
2022-05-01,29A,0,8,0.0
2022-06-01,29A,1,1,0.0
2022-07-01,29A,0,2,0.0
2022-08-01,29A,0,1,0.0
2022-09-01,29A,1,0,0.0
2022-10-01,29A,0,1,0.0
2022-11-01,29A,1,0,0.0
2022-12-01,29A,0,1,0.0
2023-01-01,29A,0,3,0.0
2023-02-01,29A,1,1,0.0
2023-03-01,29A,0,2,0.0
2023-04-01,29A,0,8,0.0
2023-05-01,29A,0,2,0.0
2023-06-01,29A,1,6,0.0
2023-07-01,29A,0,1,0.0
2023-08-01,29A,0,1,0.0
2023-09-01,29A,1,1,0.0
2023-10-01,29A,0,0,0.0
2023-11-01,29A,0,0,0.0
2023-12-01,29A,0,2,0.0
2024-01-01,29A,0,1,0.0
2024-02-01,29A,0,3,0.0
2024-03-01,29A,1,4,0.0
2024-04-01,29A,0,6,0.0
2024-05-01,29A,0,5,0.0
2024-06-01,29A,0,3,0.0
2024-07-01,29A,0,1,0.0
2024-08-01,29A,1,1,0.0
2024-09-01,29A,0,1,0.0
2024-10-01,29A,0,0,0.0
